https://www.sunriver.com.tw/taiwanmap/grid_tm2_convert.php,Lat_TWD97,Lon_TWD97,Lat_TWD67,Lon_TWD67
157,24.17137702,120.4741075,24.173124,120.465943
158,24.16486168,120.4674389,24.166609,120.459274
159,24.15859877,120.4604957,24.160345,120.452331
160,24.1441515,120.4487373,24.145898,120.440574
161,24.1374906,120.4431045,24.139236,120.434941
162,24.12873956,120.4394554,24.130485,120.431293
163,24.11990874,120.4378473,24.121654,120.429685
164,24.1116183,120.4355943,24.113364,120.427433
165,24.10219818,120.4335706,24.103944,120.42541
166,24.09331395,120.4319732,24.095059,120.423813
167,24.08634666,120.4258262,24.088092,120.417666
168,24.08008684,120.4187909,24.081831,120.410631
169,24.07177635,120.4150712,24.073521,120.406912
170,24.06346632,120.4112733,24.065211,120.403114
171,24.05569754,120.4065443,24.057442,120.398386
172,24.0475102,120.4066194,24.049254,120.398462
173,24.03962279,120.4022702,24.041367,120.394113
174,24.03583587,120.3936666,24.037579,120.385509
175,24.02749315,120.3900736,24.029236,120.381917
176,24.01903193,120.3869677,24.020775,120.378811
177,24.01058385,120.3838868,24.012327,120.375731
178,24.00208727,120.3807785,24.00383,120.372623
179,23.99401688,120.3767824,23.995759,120.368628
180,23.98767251,120.3696761,23.989415,120.361522
181,23.98025976,120.3641563,23.982002,120.356002
182,23.9726452,120.3590538,23.974387,120.3509
183,23.9700534,120.3428782,23.971794,120.334724
184,23.9630854,120.3370619,23.964826,120.328909
185,23.955273,120.3321611,23.957013,120.324008
186,23.947393,120.3274494,23.949133,120.319297
187,23.94312654,120.3243162,23.944866,120.316164
188,23.93521195,120.3196864,23.936951,120.311535
189,23.92768016,120.3144459,23.929419,120.306294
190,23.91906856,120.311655,23.920808,120.303504
191,23.91093325,120.307441,23.912672,120.299291
192,23.905073,120.304156,23.906812,120.296006
193,23.896831,120.300386,23.89857,120.292236
194,23.888443,120.296398,23.890181,120.288249
195,23.880559,120.292869,23.882297,120.28472
196,23.871212,120.293853,23.87295,120.285705
197,23.85977269,120.2957655,23.861511,120.287618
198,23.85265652,120.2957821,23.854395,120.287635
199,23.84395686,120.2933724,23.845695,120.285226
200,23.83531074,120.2907379,23.837049,120.282592
201,23.82666141,120.2879125,23.828399,120.279767
202,23.81799206,120.2850214,23.81973,120.276876
203,23.80938222,120.2820295,23.81112,120.273885
204,23.80061926,120.2797,23.802357,120.271556
205,23.79193697,120.2771045,23.793674,120.268961
206,23.78318235,120.2746507,23.78492,120.266508
207,23.7743608,120.272668,23.776098,120.264526
208,23.76553423,120.2705778,23.767271,120.262436
209,23.75744952,120.2685015,23.759187,120.26036
210,23.7480962,120.2654592,23.749833,120.257318
211,23.73993755,120.2612671,23.741674,120.253127
212,23.7373784,120.2521684,23.739115,120.244028
213,23.73749198,120.2423458,23.739228,120.234205
214,23.73465249,120.2321668,23.736388,120.224026
215,23.73020108,120.2247989,23.731936,120.216659
216,23.72445362,120.2178844,23.726188,120.209744
217,23.71770989,120.2116135,23.719444,120.203474
218,23.71368726,120.2031614,23.715421,120.195022
219,23.71203402,120.1937362,23.713767,120.185597
220,23.70947023,120.1845841,23.711203,120.176445
221,23.70145255,120.1802406,23.703185,120.172102
222,23.69273352,120.1774398,23.694466,120.169301
223,23.68408856,120.1748064,23.685821,120.166668
224,23.67551357,120.1717444,23.677246,120.163607
225,23.66686224,120.1689288,23.668594,120.160792
226,23.65788699,120.1679851,23.659619,120.159849
227,23.64889773,120.1689714,23.65063,120.160836
228,23.64024579,120.1717219,23.641978,120.163587
229,23.63146965,120.1740093,23.633202,120.165875
230,23.62254127,120.1724535,23.624273,120.164319
231,23.61408865,120.1696541,23.615821,120.16152
232,23.60710153,120.1634509,23.608833,120.155318
233,23.59929434,120.1586344,23.601026,120.150502
234,23.59112548,120.1545009,23.592857,120.146368
235,23.58276345,120.1507816,23.584495,120.14265
236,23.57424426,120.1514569,23.575975,120.143326
237,23.56709266,120.1568667,23.568824,120.148736
238,23.56071873,120.1637198,23.562451,120.155589
239,23.55412542,120.170275,23.555858,120.162145
240,23.54994168,120.1787639,23.551674,120.170634
241,23.54455408,120.1862173,23.546287,120.178088
242,23.5360594,120.1888008,23.537793,120.180672
243,23.52726971,120.186837,23.529003,120.178709
244,23.51950504,120.1819472,23.521238,120.17382
245,23.51222373,120.1762485,23.513956,120.168121
246,23.50386689,120.1723946,23.505599,120.164268
247,23.49514084,120.1698583,23.496873,120.161732
248,23.48604054,120.1699724,23.487773,120.161847
249,23.47712047,120.1687234,23.478853,120.160598
250,23.4680562,120.1674016,23.469788,120.159277
251,23.4590465,120.1663041,23.460779,120.15818
252,23.45026732,120.1657632,23.451999,120.15764
253,23.44124024,120.1654739,23.442972,120.157351
254,23.43248475,120.1636889,23.434217,120.155566
255,23.42363918,120.1617965,23.425371,120.153674
256,23.41477522,120.1632611,23.416507,120.15514
257,23.4062464,120.1664762,23.407979,120.158355
258,23.39746805,120.168386,23.3992,120.160266
259,23.38878204,120.1656216,23.390514,120.157502
260,23.38174592,120.1593447,23.383478,120.151225
261,23.37320467,120.1551462,23.374936,120.147027
262,23.36505225,120.1555383,23.366784,120.14742
263,23.3551727,120.1554231,23.356904,120.147305
264,23.34616558,120.1556651,23.347897,120.147548
265,23.33714582,120.1553952,23.338878,120.147278
266,23.32816447,120.1555709,23.329896,120.147455
267,23.31908746,120.1555444,23.320819,120.147429
268,23.31148269,120.1521246,23.313214,120.144009
269,23.30324053,120.1478992,23.304972,120.139784
270,23.29541426,120.142022,23.297145,120.133908
271,23.28988603,120.1342827,23.291617,120.126168
272,23.2825661,120.1287,23.284297,120.120586
273,23.27586487,120.1220715,23.277595,120.113958
274,23.26881552,120.1161031,23.270545,120.10799
275,23.26006235,120.1137062,23.261792,120.105594
276,23.25163903,120.1102822,23.253369,120.10217
277,23.24335702,120.1064851,23.245086,120.098373
278,23.2345925,120.104147,23.236322,120.096036
279,23.22630331,120.1041599,23.228033,120.096049
280,23.21788953,120.1010407,23.219619,120.09293
281,23.20861326,120.0974214,23.210342,120.089312
282,23.19953865,120.0971758,23.201268,120.089067
283,23.19050005,120.0969526,23.192229,120.088844
284,23.18254938,120.095336,23.184278,120.087228
285,23.17418185,120.0917309,23.175911,120.083623
286,23.16455779,120.0896181,23.166286,120.081511
287,23.155493,120.0896248,23.157222,120.081518
288,23.146475,120.0893834,23.148204,120.081277
289,23.137493,120.0887491,23.139222,120.080644
290,23.1285268,120.087576,23.130255,120.079471
291,23.1194959,120.087234,23.121224,120.07913
292,23.1104714,120.0868746,23.1122,120.078771
293,23.1014849,120.0863324,23.103213,120.078229
294,23.0942431,120.085789,23.095972,120.077686
